mggid	ship	cruise	sample	device_code	device	year	month	day	time	latdeg	latmin	latminhun	ns	londeg	lonmin	lonminhun	lonew	latlon_orig	lat	lon	water_depth	core_length	device2	comments
20995002	Thomas G. Thompson	TT020	065_189	100	grab, undifferentiated	1967	08	21		70	03	00	N	169	46	50	W	m	70.05	-169.775	38	0			
20995002	Thomas G. Thompson	TT020	056_158	400	core, gravity undiff.	1967	08	20		68	52	00	N	168	15	00	W	m	68.8667	-168.25	51	118			
20995002	Thomas G. Thompson	TT020	041_114	400	core, gravity undiff.	1967	08	19		67	59	50	N	166	58	50	W	m	67.9917	-166.975	57	32			
41995002	Multiple	unknown	JG-22	0	unknown	1976				56	06	28	N	170	33	41	W	m	56.1047	-170.5568	400				
41995002	Multiple	unknown	80-1763	0	unknown	1980				70	35	00	N	150	17	00	W	m	70.5833	-150.2833	9				
41995001	Multiple	RU529OCS	40SL_A	100	grab, undifferentiated	1977	08	14		70	33	40	N	149	30	60	W	m	70.5567	-149.51	1		GRAB SAMPLE		
41995002	Multiple	unknown	80-1273	0	unknown	1980				71	29	00	N	155	06	00	W	m	71.4833	-155.1	35				
41995001	Multiple	RU529OCS	31SL_A	100	grab, undifferentiated	1977	08	14		70	32	50	N	149	26	90	W	m	70.5417	-149.4483	2		GRAB SAMPLE		
41995001	Multiple	RU529OCS	32SL_D	100	grab, undifferentiated	1977	08	14		70	32	00	N	149	27	20	W	m	70.5333	-149.4533	2		GRAB SAMPLE		
20995002	Thomas G. Thompson	TT051	044_090	100	grab, undifferentiated	1970	08	26		58	27	30	N	163	04	30	W	m	58.455	-163.0717	30				
20995002	Thomas G. Thompson	TT051	036_078	100	grab, undifferentiated	1970	08	25		57	21	10	N	162	37	20	W	m	57.3517	-162.62	48				
20995002	Thomas G. Thompson	TT051	021_052	500	core, piston undiff.	1970	08	23		58	22	00	N	168	56	00	W	m	58.3667	-168.9333	66	421			
20995002	Thomas G. Thompson	TT051	024_058	400	core, gravity undiff.	1970	08	24		57	34	50	N	166	47	80	W	m	57.575	-166.7967	68	23			
20995002	Thomas G. Thompson	TT051	029_068	100	grab, undifferentiated	1970	08	24		56	24	20	N	163	42	00	W	m	56.4033	-163.7	83				
20995002	Thomas G. Thompson	TT051	013_035	400	core, gravity undiff.	1970	08	22		60	08	30	N	173	54	50	W	m	60.1383	-173.9083	94	104			
20995002	Multiple	ANC69	017	101	grab, orange peel	1962	07	25		64	24	60	N	167	55	80	W	m	64.41	-167.93	51	0			
20995002	Multiple	ANC69	018	101	grab, orange peel	1962	07	25		69	29	70	N	167	55	60	W	m	69.495	-167.9267	49	0			
20995002	Multiple	ANC69	008	101	grab, orange peel	1962	07	23		68	57	20	N	167	38	70	W	m	68.9533	-167.645	49				
20995002	Multiple	ANC69	013	101	grab, orange peel	1962	07	25		69	00	70	N	167	55	40	W	m	69.0117	-167.9233	49	0			
20995002	Multiple	ANC69	015	101	grab, orange peel	1962	07	25		69	12	60	N	167	55	50	W	m	69.21	-167.925	51	0			
65005001	Unknown Platform	ALASKAG	DBC84D1	701	drive sample, hand core	1977	2	2	2000	60	01	05	N	141	58	30	W	m	60.0175	-141.9717		15	HAND CORE		
65005001	Unknown Platform	ALASKAG	DBC83A1	701	drive sample, hand core	1977	2	2	2000	60	00	30	N	141	55	30	W	m	60.005	-141.9217		15	HAND CORE		
41995001	Multiple	RU529OCS	05SL_A	100	grab, undifferentiated	1977	08	04		70	31	10	N	149	34	80	W	m	70.5183	-149.58	1		GRAB SAMPLE		
41995001	Multiple	RU529OCS	01SL_B	100	grab, undifferentiated	1977	08	03		70	33	70	N	149	36	30	W	m	70.5617	-149.605	1		GRAB SAMPLE		
41995001	Multiple	RU529OCS	01SL_G	100	grab, undifferentiated	1977	08	03		70	33	70	N	149	36	30	W	m	70.5617	-149.605	1		GRAB SAMPLE		
20995002	Thomas G. Thompson	TT051	004_012	400	core, gravity undiff.	1970	08	16		67	34	70	N	169	08	90	W	m	67.5783	-169.1483	52	29			
20995002	Thomas G. Thompson	TT051	005_017	500	core, piston undiff.	1970	08	16		68	23	50	N	170	52	00	W	m	68.3917	-170.8667	54	768			
20995002	Thomas G. Thompson	TT043	052_097	100	grab, undifferentiated	1969	09	19		65	05	10	N	167	43	40	W	m	65.085	-167.7233	36				
20995002	Thomas G. Thompson	TT051	002_007	400	core, gravity undiff.	1970	08	15		67	46	80	N	167	47	20	W	m	67.78	-167.7867	52	85			
20995002	Thomas G. Thompson	TT043	045_083	100	grab, undifferentiated	1969	09	19		65	11	20	N	167	53	20	W	m	65.1867	-167.8867	34				
20995002	Thomas G. Thompson	TT042	148_311	100	grab, undifferentiated	1969	09	10		61	44	10	N	176	15	60	W	m	61.735	-176.26	102				
20995002	Thomas G. Thompson	TT051	017_042	400	core, gravity undiff.	1970	08	22		59	11	50	N	171	10	70	W	m	59.1917	-171.1783	78	63			
20995002	Thomas G. Thompson	TT051	011_031	400	core, gravity undiff.	1970	08	21		60	40	60	N	175	06	90	W	m	60.6767	-175.115	103	84			
20995002	Thomas G. Thompson	TT051	008_024	100	grab, undifferentiated	1970	08	20		62	02	90	N	168	28	90	W	m	62.0483	-168.4817	34				
41995002	Multiple	unknown	PWB7042	0	unknown	1970	10	08	1246	70	00	00	N	167	41	00	W	m	70	-167.6833	52				
41995002	Multiple	unknown	PWB7023	0	unknown	1970	10	02	2030	70	23	00	N	162	24	00	W	m	70.3833	-162.4	24				
41995002	Multiple	unknown	PWB7026	0	unknown	1970	10	03	1842	70	11	00	N	162	52	00	W	m	70.1833	-162.8667	18				
41995002	Multiple	unknown	JG02-21	0	unknown	1976				58	18	82	N	168	17	39	W	m	58.3137	-168.2898	157				
41995002	Multiple	unknown	PWB7018	0	unknown	1970	09	30	1736	70	24	00	N	164	09	00	W	m	70.4	-164.15	40				
41995002	Multiple	unknown	JG-42	0	unknown	1976				56	34	85	N	167	54	21	W	m	56.5808	-167.9035	107				
41995002	Multiple	unknown	JG-35	0	unknown	1976				55	47	09	N	168	13	30	W	m	55.7848	-168.2217	135				
41995002	Multiple	unknown	JG-37	0	unknown	1976				55	27	00	N	167	28	85	W	m	55.45	-167.4808	138				
41995002	Multiple	unknown	JG-40	0	unknown	1976				58	01	32	N	168	16	90	W	m	58.022	-168.2817	80				
41995002	Multiple	unknown	JG-15	0	unknown	1976				56	20	08	N	167	26	72	W	m	56.3347	-167.4453	121				
41995002	Multiple	unknown	JG-18	0	unknown	1976				55	17	29	N	165	59	04	W	m	55.2882	-165.984	122				
20995002	Thomas G. Thompson	TT042	127_279	400	core, gravity undiff.	1969	09	07		62	00	00	N	171	00	80	W	m	62	-171.0133	51	55			
20995002	Thomas G. Thompson	TT042	121_267	100	grab, undifferentiated	1969	09	06		60	19	90	N	171	42	20	W	m	60.3317	-171.7033	66				
20995002	Thomas G. Thompson	TT042	114_253	100	grab, undifferentiated	1969	09	05		61	08	90	N	172	18	30	W	m	61.1483	-172.305	66				
20995002	Multiple	ANC69	065	101	grab, orange peel	1962	08	04		70	22	80	N	167	51	70	W	m	70.38	-167.8617	49				
20995002	Multiple	ANC69	075	101	grab, orange peel	1962	08	06		71	02	50	N	167	10	20	W	m	71.0417	-167.17					
20995002	Multiple	ANC69	058	101	grab, orange peel	1962	08	01		68	57	50	N	165	41	50	W	m	68.9583	-165.6917	17				
20995002	Multiple	ANC69	062	101	grab, orange peel	1962	08	04		70	40	60	N	167	51	90	W	m	70.6767	-167.865	48	0			
20995002	Thomas G. Thompson	TT020	079_237	500	core, piston undiff.	1967	09	12		62	07	00	N	176	03	00	W	m	62.1167	-176.05	96	415			
20995002	Thomas G. Thompson	TT020	069_206	500	core, piston undiff.	1967	08	22		69	21	50	N	170	29	00	W	m	69.3583	-170.4833	54	328			
65005001	Unknown Platform	ALASKAG	DBC21B1	701	drive sample, hand core	1977	2	2	2000	59	23	15	N	139	26	00	W	m	59.3858	-139.4333		15	HAND CORE		
65005001	Unknown Platform	ALASKAG	DBC39A1	701	drive sample, hand core	1977	2	2	2000	59	47	55	N	139	54	25	W	m	59.7925	-139.9042		15	HAND CORE		
65005001	Unknown Platform	ALASKAG	DBC36D1	701	drive sample, hand core	1977	2	2	2000	59	50	20	N	139	46	30	W	m	59.8367	-139.7717		15	HAND CORE		
20995002	Thomas G. Thompson	TT020	017_022	400	core, gravity undiff.	1967	08	14		67	12	00	N	164	25	00	W	m	67.2	-164.4167	30	70			
20995002	Thomas G. Thompson	TT019	031	100	grab, undifferentiated	1967	08	05		65	38	00	N	168	34	00	W	m	65.6333	-168.5667	53	0			
20995002	Thomas G. Thompson	TT018	040_067	103	grab, van veen	1967	07	28		63	37	00	N	169	42	00	W	m	63.6167	-169.7	35				
20995002	John N. Cobb	COBB	35	0	unknown	1959	08	16		68	11	00	N	167	55	00	W	m	68.1833	-167.9167	51				
20995002	John N. Cobb	COBB	036	100	grab, undifferentiated	1959	08	16		68	11	00	N	167	12	00	W	m	68.1833	-167.2	40	0			
20995002	Multiple	ANC68	217	100	grab, undifferentiated	1968	07	31		64	10	00	N	168	40	40	W	m	64.1667	-168.6733	39				
20995002	Multiple	ANC68	168	100	grab, undifferentiated	1968	07	30		65	09	00	N	168	12	00	W	m	65.15	-168.2					
06245001	Townsend Cromwell	JPO 212	481	104	grab, shipek	1975	11	05	0215	59	54	50	N	142	41	20	W	m	59.9083	-142.6867	135		SHIPEK GRAB		
06245001	Townsend Cromwell	JPO 212	477	104	grab, shipek	1975	11	02	0857	59	36	40	N	144	37	00	W	m	59.6067	-144.6167	148		SHIPEK GRAB		
06245001	Townsend Cromwell	JPO 212	469	104	grab, shipek	1975	10	28	0101	60	05	20	N	146	40	30	W	m	60.0867	-146.6717	116		SHIPEK GRAB		
06245001	Townsend Cromwell	JPO 212	460	104	grab, shipek	1975	10	28	1906	60	32	80	N	146	25	60	W	m	60.5467	-146.4267	106		SHIPEK GRAB		
06245001	Townsend Cromwell	JPO 212	466	104	grab, shipek	1975	10	30	0050	60	03	00	N	144	45	70	W	m	60.05	-144.7617	201		SHIPEK GRAB		
06245001	Townsend Cromwell	JPO 212	43	100	grab, undifferentiated	1975	05	28	2228	60	05	50	N	146	55	99	W	m	60.0917	-146.9332	119		GRAB SAMPLE		
06245001	Townsend Cromwell	JPO 212	451	104	grab, shipek	1975	10	23	0515	57	58	80	N	148	38	70	W	m	57.98	-148.645	238		SHIPEK GRAB		
06245001	Townsend Cromwell	JPO 212	39	100	grab, undifferentiated	1975	05	29	1428	59	28	00	N	145	59	69	W	m	59.4667	-145.9948	148		GRAB SAMPLE		
06245001	Townsend Cromwell	JPO 212	357A	104	grab, shipek	1975	06	05	2207	59	33	90	N	142	33	90	W	m	59.565	-142.565	139		SHIPEK GRAB		
06245001	Townsend Cromwell	JPO 212	37	104	grab, shipek	1975	05	29	2035	59	34	10	N	146	21	19	W	m	59.5683	-146.3532	99		SHIPEK GRAB		
09995040	Northwind	31501	99	100	grab, undifferentiated	1955	03	25		63	50	00	N	166	14	00	W	m	63.8333	-166.2333	28		GRAB SAMPLE		
09995040	Northwind	31501	243	100	grab, undifferentiated	1955	04	13		59	41	00	N	173	23	50	W	m	59.6833	-173.3917	91		GRAB SAMPLE		
09995040	Northwind	31501	278	100	grab, undifferentiated	1955	04	15		58	20	00	N	166	00	00	W	m	58.3333	-166	45		GRAB SAMPLE		
41995002	Multiple	unknown	HB80_2	0	unknown					70	44	20	N	151	19	20	W	m	70.7367	-151.32	1				
41995002	Multiple	unknown	HB80_7	0	unknown					70	35	70	N	150	57	50	W	m	70.595	-150.9583	1				
41995002	Multiple	unknown	HB_05	0	unknown					70	31	50	N	151	12	00	W	m	70.525	-151.2	3				
41995002	Multiple	unknown	GLA7734	0	unknown					71	03	00	N	146	19	00	W	m	71.05	-146.3167	1646				
41995002	Multiple	unknown	GLA7718	0	unknown					70	37	00	N	142	30	00	W	m	70.6167	-142.5	80				
41995002	Multiple	unknown	GLA7722	0	unknown					70	14	00	N	144	28	00	W	m	70.2333	-144.4667	32				
41995002	Multiple	unknown	GLA7714	0	unknown					70	03	50	N	141	58	00	W	m	70.0583	-141.9667	35				
41995002	Multiple	unknown	GLA7716	0	unknown					70	28	00	N	141	37	00	W	m	70.4667	-141.6167	118				
41995002	Multiple	unknown	GLA7192	0	unknown					71	22	60	N	154	04	00	W	m	71.3767	-154.0667	38				
41995002	Multiple	unknown	GLA7183	0	unknown					71	11	50	N	149	46	00	W	m	71.1917	-149.7667	257				
41995002	Multiple	unknown	GLA7185	0	unknown					71	22	50	N	150	34	00	W	m	71.375	-150.5667	1054				
41995002	Multiple	unknown	GLA7162	0	unknown					70	55	20	N	148	57	00	W	m	70.92	-148.95	36				
41995002	Multiple	unknown	GLA7150	0	unknown					70	44	00	N	148	48	00	W	m	70.7333	-148.8	24				
41995002	Multiple	unknown	GLA7152	0	unknown					70	56	00	N	148	50	00	W	m	70.9333	-148.8333	37				
20995002	Thomas G. Thompson	TT018	046_078	103	grab, van veen	1967	07	30		64	37	50	N	166	36	40	W	m	64.625	-166.6067	16				
20995002	Thomas G. Thompson	TT018	035_056	100	grab, undifferentiated	1967	07	27		65	18	20	N	168	57	00	W	m	65.3033	-168.95	48				
41995002	Multiple	unknown	GLA7129	0	unknown					71	07	80	N	148	01	00	W	m	71.13	-148.0167	310				
41995002	Multiple	unknown	GLA7131	0	unknown					71	01	50	N	147	02	00	W	m	71.025	-147.0333	52				
41995002	Multiple	unknown	GLA7116	0	unknown					70	45	00	N	147	00	00	W	m	70.75	-147	46				
41995002	Multiple	unknown	GLA7040	0	unknown	1970	10	07	2230	70	18	00	N	166	57	00	W	m	70.3	-166.95	48				
41995002	Multiple	unknown	GLA7110	0	unknown					70	38	30	N	146	01	00	W	m	70.6383	-146.0167	49				
41995002	Multiple	unknown	GLA7114	0	unknown					70	25	00	N	147	05	00	W	m	70.4167	-147.0833	28				
41995002	Multiple	unknown	BSS6990	0	unknown					71	05	00	N	148	55	00	W	m	71.0833	-148.9167	41				
41995002	Multiple	unknown	BSS6992	0	unknown					71	20	00	N	150	03	00	W	m	71.3333	-150.05	1600				
41995002	Multiple	unknown	BSS6999	0	unknown					71	51	00	N	154	00	00	W	m	71.85	-154	175				
41995002	Multiple	unknown	BSS6822	0	unknown					71	14	00	N	151	57	00	W	m	71.2333	-151.95	23				
41995002	Multiple	unknown	BSS6824	0	unknown					70	55	00	N	149	54	00	W	m	70.9167	-149.9	27				
41995002	Multiple	unknown	BSS68_9	0	unknown					70	40	00	N	148	54	00	W	m	70.6667	-148.9	22				
41995002	Multiple	unknown	BS70_18	0	unknown					70	22	70	N	148	09	80	W	m	70.3783	-148.1633	2				
41995002	Multiple	unknown	BSS6801	0	unknown					71	27	00	N	155	25	00	W	m	71.45	-155.4167	17				
41995002	Multiple	unknown	BSS6806	0	unknown					70	49	00	N	151	08	00	W	m	70.8167	-151.1333	17				
41995002	Multiple	unknown	BRSLF29	0	unknown					58	55	80	N	167	48	60	W	m	58.93	-167.81					
20995002	John N. Cobb	COBB	048	100	grab, undifferentiated	1959	08	20		68	11	00	N	168	34	00	W	m	68.1833	-168.5667	58	0			
06245001	Townsend Cromwell	JPO 212	353	104	grab, shipek	1975	06	4	1607	59	48	40	N	141	41	09	W	m	59.8067	-141.6848	29		SHIPEK GRAB		
06245001	Townsend Cromwell	JPO 212	338	100	grab, undifferentiated	1975	06	3	1450	60	01	00	N	143	09	29	W	m	60.0167	-143.1548	101		GRAB SAMPLE		
06245001	Townsend Cromwell	JPO 212	340	100	grab, undifferentiated	1975	06	3	1719	59	58	60	N	142	54	19	W	m	59.9767	-142.9032	124		GRAB SAMPLE		
06245001	Townsend Cromwell	JPO 212	347	104	grab, shipek	1975	06	5	1023	59	41	00	N	142	39	69	W	m	59.6833	-142.6615	333		SHIPEK GRAB		
06245001	Townsend Cromwell	JPO 212	326	100	grab, undifferentiated	1975	06	7	1036	59	24	60	N	140	14	49	W	m	59.41	-140.2415	183		GRAB SAMPLE		
20995002	Brown Bear	BB268	65	0	unknown	1960	08	05		67	18	00	N	166	04	00	W	m	67.3	-166.0667	23				
20995002	Multiple	ANC68	223	100	grab, undifferentiated	1968	08	01		64	17	30	N	167	39	50	W	m	64.2883	-167.6583	32				
20995002	Multiple	ANC68	227	100	grab, undifferentiated	1968	08	01		64	22	70	N	166	37	40	W	m	64.3783	-166.6233	29	0			
20995002	John N. Cobb	COBB	008	100	grab, undifferentiated	1959	08	09		67	12	00	N	165	00	00	W	m	67.2	-165	29				
20995002	John N. Cobb	COBB	018	100	grab, undifferentiated	1959	08	11		68	00	00	N	165	32	00	W	m	68	-165.5333	18				
65005001	Unknown Platform	ALASKAG	DBC40C1	701	drive sample, hand core	1977	2	2	2000	59	47	25	N	139	57	30	W	m	59.7875	-139.955		15	HAND CORE		
65005001	Unknown Platform	ALASKAG	DBC42A1	701	drive sample, hand core	1977	2	2	2000	59	45	45	N	140	02	45	W	m	59.7575	-140.0408		15	HAND CORE		
41995002	Multiple	unknown	GLA7138	0	unknown					70	44	90	N	148	22	00	W	m	70.7483	-148.3667	31				
20995002	Staten Island	SI689	19A	100	grab, undifferentiated	1961	09	12		71	18	00	N	158	30	00	W	m	71.3	-158.5	101	0			
20995002	Staten Island	SI689	066	401	core, gravity, phleger	1961	09	17		67	09	00	N	166	30	00	W	m	67.15	-166.5	40	36			
20995002	Staten Island	SI689	075	101	grab, orange peel	1961	09	18		66	13	50	N	167	28	00	W	m	66.225	-167.4667	15				
20995002	Staten Island	SI689	064	401	core, gravity, phleger	1961	09	17		67	13	00	N	168	32	00	W	m	67.2167	-168.5333	43	33			
20995002	Staten Island	SI689	057	101	grab, orange peel	1961	09	16		68	17	00	N	168	32	00	W	m	68.2833	-168.5333	55				
41995002	Multiple	unknown	BRSLF37	0	unknown					56	55	80	N	169	56	40	W	m	56.93	-169.94					
06245001	Townsend Cromwell	JPO 212	330	100	grab, undifferentiated	1975	06	2	2147	59	58	20	N	144	02	79	W	m	59.97	-144.0465	24		GRAB SAMPLE		
06245001	Townsend Cromwell	JPO 212	320	100	grab, undifferentiated	1975	06	7	0537	59	36	40	N	140	50	49	W	m	59.6067	-140.8415	163		GRAB SAMPLE		
06245001	Townsend Cromwell	JPO 212	314	100	grab, undifferentiated	1975	06	7	0048	59	28	50	N	141	06	29	W	m	59.475	-141.1048	311		GRAB SAMPLE		
06245001	Townsend Cromwell	JPO 212	318	100	grab, undifferentiated	1975	06	7	0413	59	30	20	N	140	50	19	W	m	59.5033	-140.8365	302		GRAB SAMPLE		
06245001	Townsend Cromwell	JPO 212	310	100	grab, undifferentiated	1975	06	6	2002	59	22	10	N	141	09	49	W	m	59.3683	-141.1582	298		GRAB SAMPLE		
06245001	Townsend Cromwell	JPO 212	290	100	grab, undifferentiated	1975	06	4	1120	59	54	60	N	141	52	29	W	m	59.91	-141.8715	31		GRAB SAMPLE		
06245001	Townsend Cromwell	JPO 212	297	100	grab, undifferentiated	1975	06	6	0949	59	32	90	N	141	46	69	W	m	59.5483	-141.7782	165		GRAB SAMPLE		
06245001	Townsend Cromwell	JPO 212	303	100	grab, undifferentiated	1975	06	6	1520	59	09	10	N	141	26	79	W	m	59.1517	-141.4465	364		GRAB SAMPLE		
06245001	Townsend Cromwell	JPO 212	282	100	grab, undifferentiated	1975	06	4	0925	59	54	50	N	142	19	99	W	m	59.9083	-142.3332	82		GRAB SAMPLE		
06245001	Townsend Cromwell	JPO 212	285	100	grab, undifferentiated	1975	06	4	0733	59	47	40	N	142	14	39	W	m	59.79	-142.2398	115		GRAB SAMPLE		
06245001	Townsend Cromwell	JPO 212	278	104	grab, shipek	1975	06	4	0025	59	48	00	N	142	42	49	W	m	59.8	-142.7082	192		SHIPEK GRAB		
06245001	Townsend Cromwell	JPO 212	271	104	grab, shipek	1975	06	5	1404	59	36	30	N	142	31	79	W	m	59.605	-142.5298	183		SHIPEK GRAB		
06245001	Townsend Cromwell	JPO 212	273	104	grab, shipek	1975	06	5	1606	59	34	60	N	142	22	69	W	m	59.5767	-142.3782	282		SHIPEK GRAB		
06245001	Townsend Cromwell	JPO 212	264	104	grab, shipek	1975	06	3	2326	59	49	50	N	142	29	99	W	m	59.825	-142.4998	134		SHIPEK GRAB		
06245001	Townsend Cromwell	JPO 212	253	100	grab, undifferentiated	1975	06	6	0344	59	30	60	N	142	37	79	W	m	59.51	-142.6298	421		GRAB SAMPLE		
20995002	Brown Bear	BB268	102	100	grab, undifferentiated	1960	08	09		70	18	00	N	168	52	00	W	m	70.3	-168.8667	41	0			
20995002	Brown Bear	BB268	104	400	core, gravity undiff.	1960	08	10		70	38	00	N	166	37	00	W	m	70.6333	-166.6167	40	26			
20995002	Brown Bear	BB268	109	100	grab, undifferentiated	1960	08	11		70	13	00	N	163	15	00	W	m	70.2167	-163.25	27				
65005001	Unknown Platform	ALASKAG	DBC20A1	701	drive sample, hand core	1977	2	2	2000	59	22	25	N	139	23	10	W	m	59.3708	-139.385		15	HAND CORE		
65005001	Unknown Platform	ALASKAG	DBC92D1	701	drive sample, hand core	1977	2	2	2000	60	03	50	N	142	23	40	W	m	60.0583	-142.39		15	HAND CORE		
65005001	Unknown Platform	ALASKAG	DBC90B1	701	drive sample, hand core	1977	2	2	2000	60	03	25	N	142	17	15	W	m	60.0542	-142.2858		15	HAND CORE		
65005001	Unknown Platform	ALASKAG	DBC91B1	701	drive sample, hand core	1977	2	2	2000	60	03	40	N	142	20	35	W	m	60.0567	-142.3392		15	HAND CORE		
65005001	Unknown Platform	ALASKAG	DBC89A1	701	drive sample, hand core	1977	2	2	2000	60	02	55	N	142	14	15	W	m	60.0425	-142.2358		15	HAND CORE		
65005001	Unknown Platform	ALASKAG	DBC87A1	701	drive sample, hand core	1977	2	2	2000	60	01	55	N	142	08	10	W	m	60.0258	-142.135		15	HAND CORE		
65005001	Unknown Platform	ALASKAG	DBC88B1	701	drive sample, hand core	1977	2	2	2000	60	02	30	N	142	11	10	W	m	60.0383	-142.185		15	HAND CORE		
20995002	Brown Bear	BB268	090	100	grab, undifferentiated	1960	08	08		68	57	00	N	165	55	00	W	m	68.95	-165.9167	17	0			
20995002	Northwind	NW063	044	401	core, gravity, phleger	1963	08	16		69	12	00	N	172	00	00	W	m	69.2	-172	53	78			
20995002	Northwind	NW063	034	0	unknown	1963	08	11		69	19	20	N	177	35	00	W	m	69.32	-177.5833	48	18			
20995002	Northwind	NW063	022	101	grab, orange peel	1963	08	09		67	22	00	N	173	55	00	W	m	67.3667	-173.9167	25				
20995002	Northwind	NW063	029	401	core, gravity, phleger	1963	08	10		69	53	50	N	174	26	50	W	m	69.8917	-174.4417	52	119			
20995002	Northwind	NW063	018	401	core, gravity, phleger	1963	08	09		68	36	00	N	171	36	00	W	m	68.6	-171.6	55	112			
20995002	Northwind	NW063	013	100	grab, undifferentiated	1963	08	08		67	18	50	N	170	46	50	W	m	67.3083	-170.775	47	0			
20995002	Thomas G. Thompson	TT020	018_029	500	core, piston undiff.	1967	08	14		67	05	40	N	164	29	00	W	m	67.09	-164.4833	28	282			
20995002	Thomas G. Thompson	TT020	022_039	400	core, gravity undiff.	1967	08	15		67	15	00	N	165	23	50	W	m	67.25	-165.3917	34	54			
20995002	Multiple	ANC68	155	100	grab, undifferentiated	1968	07	29		63	52	80	N	169	54	40	W	m	63.88	-169.9067	32				
20995002	Multiple	ANC68	082	100	grab, undifferentiated	1968	07	27		64	32	90	N	170	06	40	W	m	64.5483	-170.1067	47				
20995002	Multiple	ANC68	089	100	grab, undifferentiated	1968	07	27		64	08	00	N	170	36	00	W	m	64.1333	-170.6	29	0			
20995002	Multiple	ANC68	098	100	grab, undifferentiated	1968	07	28		63	43	50	N	171	36	00	W	m	63.725	-171.6	20				
