"","sppocean","npres","npres.tr","npres.te","ntot","auc","auc.tt","r2.biomass","r2.biomass.tt","r2.all","r2.all.tt","r2.pres.1deg","r2.abun.1deg","dev.pres","dev.biomass"
"21","anarhichas minor_Atl",1628,1180,448,26818,0.843061565029644,0.830173893692788,0.208470535135373,0.0314530115481402,0.000589906109220205,0.00217372051270201,0.25,0,0.216894213049646,0.870458636274259
"22","anasimus latus_Atl",743,513,230,7766,0.831457359197965,0.804492424989317,0.107091985112941,0.00244794260334747,0.0949486202129014,0.0191498653896766,0.23,0.15,0.212134013731292,0.107000464780193
"23","anchoa hepsetus_Atl",2742,2294,448,31107,0.909372778499564,0.896525698448438,0.900507030691234,0.594478024869342,1.54976811858451e-05,0.100087055149959,0.45,0,0.373092565982178,0.956445812727583
"24","anchoa mitchilli_Atl",1934,1587,347,37687,0.89997780358511,0.891318994921673,0.885703779393857,0.320627970758549,0.0760677987426644,0.120190795750774,0.37,0.19,0.320520256461735,0.910373882852594
"25","ancylopsetta dilecta_Atl",659,522,137,7766,0.876709534061277,0.846844199760817,0.227108619771687,0.0809712728235458,0.108577167656035,0.100684744235679,0.31,0.13,0.285725309220862,0.226812808846364
"26","anoplopoma fimbria_Pac",10224,8383,1841,32060,0.908324068884041,0.926210168705193,0.218398977368082,0.175578355066334,0.0337159488897451,0.0250375202924251,0.65,0.08,0.435652805384389,0.525059542652615
"27","antennarius radiosus_Atl",588,457,131,7766,0.801504692152691,0.804189347333621,0.370153485636961,0.0636566534923723,0.00236750321875807,0.0248191064581401,0.15,0.11,0.164734208262845,0.369767772201048
"28","anthoptilum grandiflorum_Pac",488,385,103,8848,0.880756946623233,0.822316119300412,0.0741366145073189,0.0310717313043947,0.0273162800345999,0.0346889918364822,0.32,0.04,0.270350333220553,0.883568978357949
"29","antimora microlepis_Pac",1106,966,140,17114,0.981197635811315,0.968382576911363,0.391733706141399,0.00282375476750282,5.90944972864203e-07,1.63642669175471e-05,0.8,0,0.646723779754021,0.521365934369344
"30","antimora rostrata_Atl",2354,1891,463,15282,0.951478734321944,0.935283063972678,0.236998273982955,0.051229217699396,0.291087386069015,6.35632161966277e-05,0.71,0.49,0.536776533470627,0.874969283939927
"31","aphrocallistes vastus_Pac",1732,1213,519,25457,0.877649148124766,0.859360276256409,0.120905326376589,0.0511386186722978,0.00132394922459968,0.019626393864958,0.32,0.03,0.27965246478324,0.513291527246869
"32","apristurus brunneus_Pac",2421,1885,536,8848,0.920620790786865,0.906535747115319,0.182449937755976,0.136392284389306,0.235202324509948,0.212711435118777,0.53,0.32,0.45433497971822,0.187641105146675
"33","apristurus profundorum_Atl",267,190,77,9993,0.90570700874369,0.911195724150979,0.0787658287469415,0.0255575018041669,0.0603505585196175,0.0742019638958381,0.21,0.17,0.286442053579617,0.0785835089171523
"34","argentina silus_Atl",1955,1610,345,56925,0.887825002896217,0.854966121432429,0.747256258816804,0.162357020994037,0.0216852685257809,0.0143999593942509,0.22,0.07,0.277049922301602,0.788402212641376
"35","argis dentata_Atl",3613,NA,NA,26818,0.927688654290299,NA,0.210839273298465,NA,0.0422633968179624,NA,0.66,0.23,0.442936366242498,0.917728661376787
"36","argis dentata_Pac",465,363,102,22857,0.785215389904983,0.813364616376901,0.323837849813029,0.0293629904044759,0.000267950793718741,0.0135562079136397,0.04,0,0.106202336521952,0.958305216298711
"37","argis lar_Pac",390,374,16,22857,0.85178455466874,0.815340285400656,0.504960899254076,0.000389516149254365,0.0373606693131808,0.00159064659106907,0.08,0.11,0.177107436969767,0.959771702575241
"38","ariopsis felis_Atl",683,585,98,13062,0.932082943567262,0.910793434318829,0.231004574296325,0.000618835206374054,0.0141485180191618,0.053193935575627,0.51,0.11,0.40294336637216,0.978088520750942
"39","aspidophoroides bartoni_Pac",721,531,190,14706,0.707369100140579,0.660621974784289,0.447478251992182,0.00518876787652389,0.000640359953645063,0.00820575574803834,0.06,0.01,0.0817226409206745,0.956225587865744
"40","aspidophoroides monopterygius_Atl",4998,3562,1436,56924,0.867448003736433,0.737695592288824,0.555447004511797,0.123165717345313,0.00317561337166533,0.00138124353689114,0.33,0.03,0.277252906264118,0.973797966918041
"41","asterias amurensis_Pac",6784,5311,1473,19266,0.93322877868664,0.948564354458678,0.293608268903031,0.20678323780166,0.248685240786893,0.31939525100671,0.59,0.37,0.522438506060708,0.639610506312009
"42","astropecte cigulatus_Atl",531,355,176,7766,0.85632837339935,0.737943157060799,0.194343841858766,0.0696188257180235,0.0853356727013215,0.0267839321651166,0.3,0.19,0.253062658406775,0.194171741976196
"43","astropecte duplicatus_Atl",906,644,262,7766,0.796177089568103,0.606985531069474,0.130149765281626,0.148673369820834,0.0313965238452428,0.0197743248367165,0.21,0.07,0.166123824268976,0.130038793706704
"44","atheresthes evermanni_Pac",1769,1353,416,11742,0.953392871890347,0.961878135451502,0.194587188716111,0.117021571354438,0.0039229148126086,0.0267952762675634,0.63,0.03,0.553358528527117,0.229586753657959
"45","atheresthes stomias_Pac",13782,10881,2901,20776,0.841596842943561,0.83382964242105,0.213958305417604,0.167383658133796,0.0607231339622109,0.0610619360516786,0.59,0.15,0.295296158476567,0.622537746661055
"46","balistes capriscus_Atl",909,704,205,13062,0.753123382773558,0.794757161530882,0.902609106088998,0.422493854381212,0.000613906565774839,0.1710858394488,0.16,0.02,0.118980948772037,0.984842388802266
"47","bathyagonus nigripinnis_Pac",554,439,115,19791,0.868992496972538,0.851724878975736,0.264083395506493,0.231915997587898,0.0396596380667494,0.0829915733501601,0.02,0.02,0.244314158519383,0.957342724726621
"48","bathybembix bairdii_Pac",932,757,175,14435,0.974592993005277,0.967211335861791,0.12772519927084,0.0363526231003826,0.117208025053008,0.128773080818447,0.77,0.33,0.610893998075573,0.682166350201467
"49","bathylagus euryops_Atl",1503,1287,216,14955,0.936146885533121,0.924280947614288,0.106689117662461,0.0844214677711514,0.108378823421691,0.119388513785634,0.62,0.27,0.44966966196789,0.970809656344421
"50","bathymaster signatus_Pac",3112,2543,569,22857,0.728588645656214,0.725982351530747,0.0577046925527151,0.0421827616452959,0.0234766843621842,0.0116415095807982,0.25,0.06,0.108790354796331,0.630895503277623
"51","bathypolypus arcticus_Atl",1149,201,948,28078,0.952352834732419,0.833372088083354,0.323975520232692,0.126793372452872,0.0190069625780084,0.0515951510850497,0.54,0.22,0.483746904376606,0.889755433612192
"52","bathyraja aleutica_Pac",1077,813,264,11742,0.691729862038853,0.623866726283954,0.141023423377964,0.0967790395477965,0.0216094474759719,0.0111759034724628,0.08,0.06,0.0676747096074935,0.533207436190879
"53","bathyraja interrupta_Pac",810,613,197,11742,0.750563415592729,0.755311542028605,0.0777546932293682,0.00301348068632238,0.0131670542361833,0.0483199258104112,0.14,0.05,0.105080532903115,0.181156488897015
"54","bathyraja maculata_Pac",680,550,130,11742,0.921633746158026,0.937688145938823,0.151545778552284,0.183018472310605,0.127342464348818,0.100024705368851,0.31,0.29,0.371322648143344,0.691686748599848
"55","bathyraja parmifera_Pac",721,631,90,11742,0.817616060424831,0.715844897155797,0.126409947237309,0.0170312700155289,0.0544668288141545,0.0282514330757458,0.29,0.13,0.175212099708525,0.439338713853573
"56","bathyraja spinicauda_Atl",492,416,76,14423,0.879333276140865,0.836589627325697,0.0708134509744395,0.0510746792234463,0.0475721251865634,0.0328496403259176,0.19,0.05,0.243856191367063,0.873532010944355
"57","bellator militaris_Atl",510,332,178,13062,0.848595802246953,0.846065338417363,0.496889211379562,0.203967775392782,0.120831687149756,0.0733791941224764,0.2,0.62,0.205867296233778,0.982578104066355
"58","beringius behringi_Pac",744,608,136,11115,0.691318546961531,0.675364300008458,0.1330079655438,0.0549345357412378,0.00692338574246668,0.0153980797115013,0.07,0.03,0.0595948979458551,0.132998659906721
"59","berryteuthis magister_Pac",2645,2129,516,31074,0.906220750516985,0.893040935672547,0.106548851061225,0.0792533370052005,0.00666170133170655,0.00773098581063335,0.44,0.02,0.355437632248624,0.311997706935167
"60","bollmannia communis_Atl",721,648,73,7766,0.719988305809011,0.731432802665678,0.377645203236767,0.000198124786595516,0.0452553769745799,0.00201762236335036,0.1,0.12,0.0923783293063674,0.377605927678489
"61","boltenia ovifera_Pac",1911,1266,645,11115,0.852185737732411,0.687515351588217,0.0697931735216901,0.000473543933456523,0.0013486049133622,9.51749470462715e-06,0.4,0.02,0.276527351567611,0.0697034847742867
"62","boreogadus saida_Atl",5177,4297,880,15282,0.82436948261143,0.828283756684498,0.311392462831027,0.155820104160431,0.13248594258132,0.103295280773168,0.62,0.31,0.249975960184169,0.918306561862202
"63","boreogadus saida_Pac",1313,792,521,11115,0.940559949140841,0.890599520491864,0.336724953492059,0.151277297278386,0.0242127523151687,0.0436293272028135,0.68,0.09,0.500625449659943,0.336689388877419
"64","bothrocara brunneum_Pac",1130,898,232,17114,0.982206321365603,0.982377700212883,0.0737985928928331,0.0310990400738273,0.121869028329988,0.079527362225726,0.74,0.3,0.670849950285402,0.17930261068422
"65","bothus robisi_Atl",272,NA,NA,7766,0.917787661501762,NA,0.146996913295686,NA,0.0425920559784214,NA,0.34,0.13,0.336005994454954,0.146931257467912
"66","bregmaceros atlanticus_Atl",343,299,44,7766,0.73174366646258,0.730420507259475,0.513324110793474,0.0190362343171435,0.0282981172464259,0.00950196012024341,0.07,0.04,0.0859309913450223,0.513289383385672
"67","brevoortia patronus_Atl",399,348,51,7766,0.867275083323846,0.871909349625347,0.114002419388151,0.0518233434239849,0.024845784765303,0.00910795954423664,0.28,0.12,0.256256923173887,0.113632845081237
"68","brisaster latifrons_Pac",2506,1795,711,17111,0.79103145262054,0.720318481614468,0.137688420971243,0.103036892572443,0.0413306698534701,0.0257285174780432,0.2,0.16,0.17044269760735,0.195342878025898
"69","brosme brosme_Atl",2373,2205,168,52417,0.884860366282453,0.864150393555424,0.348669072857003,0.445256681589699,0.0914770356149712,0.025741640403473,0.25,0.2,0.263492750010646,0.695120459553582
"70","brotula barbata_Atl",704,618,86,7766,0.748362011952592,0.728793138980041,0.290621619968025,0.213716851134574,0.0285897856066335,0.00710166091520807,0.15,0.06,0.111290962976458,0.290395517182696
"71","buccinum angulosum_Pac",2044,1542,502,11115,0.807124152775212,0.810208324169913,0.167301566449011,0.118755829271962,0.0746418608243475,0.0439455348275317,0.31,0.15,0.201280792939335,0.167162792560713
"72","buccinum plectrum_Pac",865,668,197,19266,0.783101948781947,0.679238773061997,0.479665197693837,0.238357561013808,0.0290718623005271,0.0176386840415559,0.14,0.09,0.135735856218323,0.814726697295345
"73","buccinum polare_Pac",1646,1196,450,11115,0.80677133171145,0.852472269223537,0.150924317271698,0.0174334105674817,0.063213614110955,0.041559260038204,0.32,0.15,0.198998469351412,0.150798791239581
"74","buccinum scalariforme_Pac",2887,2178,709,19266,0.851652416447367,0.853451354270968,0.281301297681504,0.140466617421679,0.0900419418856508,0.0756126436734035,0.36,0.18,0.26569176978078,0.748414324491524
"75","calappa sulcata_Atl",1346,1121,225,7766,0.660552785916963,0.633487282463187,0.0909925343089759,0.015386792673378,0.0153233943293417,0.0211075987513031,0.14,0.08,0.0535926507064776,0.0909167159960567
"76","callinectes sapidus_Atl",1871,1565,306,20691,0.868151255444898,0.830606894810807,0.90288192326589,0.764753674439981,0.0620386118500845,0.0901272790983606,0.38,0.14,0.282989535232248,0.985838764725
"77","callinectes similis_Atl",4435,3901,534,7766,0.681352989933988,0.538129472604779,0.118595871875522,0.108521011948211,0.0569051645912706,0.0516122042732428,0.17,0.18,0.0785550868811555,0.118589180664513
"78","cancer borealis_Atl",4005,2144,1861,46148,0.832048980844842,0.725663236640314,0.10985034849393,0.0508451471763219,0.0557220044346352,0.0446099065497868,0.34,0.12,0.205675400651265,0.570192322836615
"79","cancer irroratus_Atl",4344,2429,1915,41029,0.800229728807144,0.738881397562027,0.354707333033988,0.0862704136082396,0.0323917677267489,0.00786331726434293,0.27,0.1,0.171741888028883,0.690674184186155
"80","caranx crysos_Atl",711,570,141,13062,0.840539796967761,0.785388521028335,0.932204159019163,0.427000391956645,0.114264243062205,0.0445705883691483,0.26,0.27,0.216139278707184,0.967065425453353
"81","careproctus melanurus_Pac",1790,1393,397,20776,0.929381440720579,0.930028701155407,0.193855197768247,0.101865200784719,0.0814667081607151,0.153852586682507,0.45,0.28,0.42752059155613,0.775769918793932
"82","careproctus rastrinus_Pac",756,525,231,22857,0.913754411265929,0.885631994733377,0.175131131973657,0.00867640948872397,0.0449219375972388,0.0569261831755232,0.34,0.13,0.323696611363475,0.809279236303249
"83","caulolatilus intermedius_Atl",467,412,55,7766,0.86304333731441,0.876793300157786,0.257818418710505,0.030941621188778,0.142982587618999,0.0282724327760925,0.26,0.14,0.244584944575421,0.257785902607502
"84","centropristis philadelphica_Atl",3884,3388,496,13062,0.866835592725104,0.822866485761327,0.357935451056193,0.149532420633452,5.34443009165518e-08,0.000124596514012971,0.59,0,0.361621263074894,0.981862243556731
"85","centropristis striata_Atl",2567,1668,899,29891,0.875800940018968,0.818378846702619,0.191264302835724,0.0748696649162981,0.0322118037418869,0.0418689529254777,0.32,0.07,0.284033472806634,0.348738378691556
"86","centroscyllium fabricii_Atl",976,803,173,26818,0.939157752946468,0.922759976388576,0.682850984709166,0.328720467968362,7.87567691995711e-08,5.43891068757028e-07,0.29,0,0.387341652069974,0.870510930432294
"87","cetropristis ocyura_Atl",418,106,312,7766,0.866646817283261,0.614027407591064,0.158613913336182,0.0540291999827598,0.0309972389058484,0.0151092218388314,0.27,0.07,0.252762523220298,0.158526427543737
"88","chaetodipterus faber_Atl",377,276,101,13062,0.909961848462381,0.933618809909659,0.92082490554292,0.470402386470205,0.0802584936859494,0.00849684634432435,0.3,0.12,0.31472164398234,0.977417477839415
"89","chauliodus macouni_Pac",892,720,172,19790,0.930081041626777,0.926590969104826,0.171596498460526,0.375988968549996,0.0438113681475476,0.133646068554987,0.36,0.23,0.384787228932903,0.945427917060523
"90","chauliodus sloani_Atl",1974,1717,257,42639,0.969572249398423,0.94873387942918,0.214250096044985,0.0221950928433234,0.0141297297198451,4.62124193956595e-07,0.64,0.04,0.546444750353683,0.979018580986148
"91","cheiraster dawsoni_Pac",1017,768,249,19791,0.813624152693923,0.784725424609493,0.138848637000882,0.136031456540165,0.00561161078985328,0.00108101514737735,0.21,0.05,0.16398600382467,0.912089073171194
"92","chiasmodon niger_Atl",948,811,137,10525,0.898471758330993,0.876242507863032,0.0796328141882588,0.0114534512404128,0.106847485299257,0.0482987752509969,0.43,0.26,0.333791233936305,0.0796003196826867
"93","chionoecetes bairdi_Pac",9033,7159,1874,28411,0.861857304743666,0.834577321083884,0.24530561676618,0.19641880056741,0.0703207871518573,0.0427183971996066,0.41,0.12,0.324724625639054,0.380630261371374
"94","chionoecetes opilio_Atl",13972,10503,3469,62006,0.94988081299442,0.914643992850082,0.72253884529362,0.472495789204978,0.00669599529142658,0.346167527229105,0.66,0.08,0.568251949507844,0.850270600401761
"95","chionoecetes opilio_Pac",8235,6628,1607,11115,0.904361085812592,0.933082940705846,0.302917514379482,0.122627062731338,0.145455955931902,0.0916428536238142,0.61,0.28,0.430039842045325,0.302914695498848
"96","chionoecetes tanneri_Pac",1940,1529,411,17114,0.97224819244537,0.96900072055654,0.311829157105288,0.244790531767329,0.232763469886879,0.173713650986862,0.8,0.42,0.636361669453859,0.362633233936226
"97","chlamys islandica_Atl",2066,1403,663,26818,0.847325224210564,0.624585700073798,0.715047157462138,0.753653133819769,0.0159391140344948,0.00366799337538768,0.33,0.06,0.228464370048398,0.973190359357403
"98","chlamys rubida_Pac",743,668,75,22857,0.868120090060623,0.865594602609775,0.063698853441438,0.0505274383156787,0.0137548320178577,0.0005277344239251,0.23,0.03,0.226401311196147,0.809551904587768
"99","chloroscombrus chrysurus_Atl",2588,2234,354,13062,0.917440023710719,0.917915209199677,0.334913344202049,0.193325240838927,0.0466783621817877,0.161764123809638,0.68,0.12,0.439327112098991,0.961313767673995
"100","chorilia longipes_Pac",698,NA,NA,32060,0.866994993667565,NA,0.370407843239691,NA,0.00476595987815126,NA,0.21,0.16,0.212922454790507,0.938617439124954
"101","chrysaora melanaster_Pac",3812,1901,1911,28411,0.924053225062715,0.857817288755775,0.170809144412427,0.0238523303516635,0.0785198887823449,0.0229409204356278,0.58,0.04,0.435599366810829,0.176128531602549
"102","chrysaora quinquecirrha_Atl",615,492,123,7766,0.80104641684091,0.729160270623687,0.164370152806064,0.00236607399546673,6.50391866157201e-07,0.0011474926548814,0.19,0,0.162696812600841,0.164356826914988
"103","citharichthys arctifrons_Atl",2890,1145,1745,41038,0.863729893915089,0.844431230761451,0.202396215027138,0.0617511593589336,0.052519428897592,0.0349540276699167,0.32,0.18,0.261122120245318,0.796678023007891
"104","citharichthys macrops_Atl",322,202,120,7766,0.744596298323568,0.676320074435915,0.180114148181033,0.0114289525587721,0.0323600778623108,0.0193898413318557,0.07,0.21,0.0920174024495049,0.179739964681279
"105","citharichthys sordidus_Pac",3359,2660,699,17114,0.973267411271262,0.977424745650907,0.165484926480255,0.0555855869609201,0.0443410581263326,0.105610932622999,0.82,0.07,0.662428252736874,0.405616491009008
"106","citharichthys spilopterus_Atl",882,782,100,7766,0.6386819447903,0.526978664831381,0.229682041884844,0.0350565169015704,0.0111221105428931,0.00029886881069544,0.05,0.04,0.0357041116195231,0.229449449682063
"107","clinocardium ciliatum_Pac",391,246,145,22857,0.83229389201494,0.822983311778314,0.325765299734343,0.0790719994707451,0.0102327000986813,0.0138454476691048,0.12,0.04,0.179549921476606,0.890897770864129
"108","clinopegma magnum_Pac",1409,1090,319,11115,0.807139299229817,0.784443244382388,0.168085335517298,0.0449579254132316,0.0483679377174906,0.0307567547108008,0.23,0.14,0.18827271162753,0.168010885349374
"109","clupea harengus_Atl",14807,10212,4595,62010,0.799018230628389,0.794641966490439,0.590731900759304,0.0654064336545987,7.66178714186192e-08,0.0334116735438887,0.3,0,0.193528335503759,0.600872849211769
"110","clupea pallasii_Pac",4784,3975,809,31074,0.829302175789411,0.831267004293048,0.120312348058367,0.0234442578428387,0.00965969490238379,0.00249258390597219,0.25,0.01,0.231718357647477,0.323270055475965
"111","coryphaenoides acrolepis_Pac",1322,1070,252,17114,0.990312532092722,0.987365660024122,0.589391026456594,0.0028807080741199,5.71632830427515e-07,1.69294380400273e-06,0.86,0,0.770659984148904,0.596530769360867
"112","coryphaenoides rupestris_Atl",2209,1821,388,26818,0.966639812994773,0.921996839869418,0.255315894695722,7.16550380877753e-05,2.28221415650727e-07,6.54815589425014e-05,0.68,0,0.573469339087703,0.89263028789586
"113","cottunculus microps_Atl",943,803,140,19827,0.884814258082455,0.869132586367864,0.16438938893042,0.269889772582734,0.0581124332254159,0.0630130311542153,0.29,0.15,0.275748005611582,0.967151600550968
"114","crangon dalli_Pac",521,385,136,22857,0.836792097589104,0.840108760527895,0.319580250354907,0.0075312360159666,0.0312396531859685,0.0196325837326708,0.13,0.07,0.178160257328608,0.939389315165308
"115","crossaster borealis_Pac",1228,970,258,32060,0.938620129431104,0.903465761224204,0.198853567322725,0.316097948019799,0.128105890974474,0.10246864536228,0.59,0.41,0.450411265078913,0.814486962017183
"116","crossaster papposus_Pac",2237,1716,521,31074,0.778241680548464,0.764898494992589,0.243921394810163,0.230892541503562,0.0303934831608459,0.0809254047221872,0.12,0.03,0.131019026646276,0.905181634486889
"117","ctenodiscus crispatus_Pac",3285,2388,897,31074,0.806207103289088,0.80429553253801,0.312878623177676,0.168546970334734,0.000724860561273991,0.000853168923043215,0.17,0,0.174051019089331,0.581384808422849
"118","cucumaria fallax_Pac",1033,809,224,22857,0.813074205542652,0.778061737980224,0.177322267190102,0.117595003528925,0.0179601335245037,0.00233297776351887,0.1,0.02,0.160069913602488,0.290146566764665
"119","cyanea capillata_Pac",997,493,504,25457,0.926177059387503,0.896317145417878,0.159174842328883,0.0215772711060263,3.27994985828405e-06,0.00011925356697655,0.44,0,0.383952082737474,0.503874576915046
"120","cyclopsetta chittendeni_Atl",1390,1134,256,7766,0.690386103914858,0.650485495373941,0.226523233246695,0.0829383249289271,0.0501136886207794,0.036890761965813,0.11,0.17,0.0770918728788939,0.226454576126828
"121","cyclopterus lumpus_Atl",2282,1890,392,56925,0.854798286505016,0.771834989454294,0.805117270282519,0.412260163048035,0.0162420474831381,0.00764412916567378,0.26,0.06,0.215636551088678,0.908199624348178
"122","cynoscion arenarius_Atl",2404,2062,342,7766,0.633940596022665,0.605493743993895,0.0723654014086369,0.0768041531856247,0.0131791223301343,0.011244228460637,0.11,0.04,0.0398326758652907,0.0722334542032756
"123","cynoscion nothus_Atl",1663,1382,281,13062,0.858941904842641,0.826453296204165,0.309024736022651,0.262972519276181,0.0939422210254585,0.000503973526408745,0.42,0.18,0.278342385002564,0.972277634356552
"124","cynoscion regalis_Atl",1989,1586,403,22262,0.940154993935648,0.942206726900633,0.185010817183235,0.285343461712194,7.2594844590638e-06,6.7763027083671e-06,0.62,0,0.461001579952586,0.432886427026787
"125","dasyatis centroura_Atl",479,307,172,22262,0.939837926896507,0.93735465116278,0.216539737919605,0.0876948537438254,0.0712476040912615,0.0979342326120114,0.42,0.23,0.366563603478726,0.867776538153042
"126","dasyatis say_Atl",668,498,170,26179,0.966762312465,0.974917832878462,0.584291439015936,0.0263007299354512,0.0790345990483529,0.0105925950121973,0.4,0.21,0.489154899739945,0.708435467630823
"127","dasycottus setiger_Pac",2389,1923,466,22857,0.76907210945744,0.771321480660565,0.132063310592312,0.0575118846394475,0.0412786478906225,0.0526118710827581,0.18,0.11,0.134146691348932,0.803707100654743
"128","decapterus puctatus_Atl",507,321,186,7766,0.64594505956424,0.536533182308014,0.134073031047667,0.00240200714137566,0.00199007676672189,0.00043213142731739,0.04,0.03,0.0374519303685716,0.13371656640716
"129","decapterus punctatus_Atl",766,503,263,22262,0.948957502324733,0.912706372928547,0.469316471584976,0.256677940029914,0.0712924419061038,0.0284682365713768,0.44,0.41,0.439742694614585,0.555711627560804
"130","dichelopandalus leptocerus_Atl",1186,744,442,18013,0.934620903067605,0.887868407528992,0.215029665306308,0.0476885531368781,8.80964495110356e-07,7.31517644145149e-06,0.51,0,0.422435258990439,0.611962316640444
"131","diplectrum bivittatum_Atl",2409,2239,170,7766,0.762773698871908,0.689468759304164,0.203404785944658,0.0075177887105184,0.149524441481045,0.0140445299185304,0.3,0.3,0.156637536003637,0.203385396674474
"132","diplectrum formosum_Atl",948,366,582,13062,0.800658033143599,0.793824166708987,0.863222253262625,0.40848719009604,0.277688260213031,0.075936291380584,0.16,0.54,0.180742212993519,0.987888392001706
"133","dipsacaster borealis_Pac",398,299,99,22857,0.885373425299156,0.687379158309394,0.284757353236102,0.317900008554733,0.0618908547753788,0.00223099900722992,0.2,0.08,0.243926049491032,0.867857307973956
"134","dipsacaster eximius_Pac",283,240,43,4332,0.854739686193939,0.820509197773316,0.0883355061084756,0.00753343730760973,0.00396733537533294,0.0226990051279073,0.19,0.1,0.226169559887804,0.0850389329977706
"135","dipturus laevis_Atl",1897,662,1235,41038,0.897251151665908,0.781842116877,0.191868365221575,0.0136645350864351,0.00362905547046759,7.97094007414086e-08,0.39,0.01,0.313421603670768,0.263418034502887
"136","dromalia alexandri_Pac",409,334,75,4332,0.784746031023858,0.771015592077533,0.151501916451313,0.00745003094011926,0.0185982449065995,0.00333599430897293,0.3,0.17,0.1464683044516,0.151457672022569
